"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000038217",199.329914045945,0.81939396762059,0.216853367724198,3.77856233555351,0.000157736370374019,0.0635426628381704
"ENSMUSG00000057836",17.4825639284739,2.58769323249478,0.686621813494887,3.76873146415709,0.000164079291184509,0.0646290096943427
"ENSMUSG00000033860",9.91416361240893,-5.85134227500561,1.55862333637392,-3.7541734031896,0.000173914441017744,0.0670137710225983
"ENSMUSG00000023032",106.250775370594,1.51920876817271,0.409782765171146,3.70735154646685,0.000209438115521995,0.0789849063324972
"ENSMUSG00000026840",34.428470953554,-1.628946496051,0.443423614950957,-3.67356730928994,0.000239187632949985,0.086522465184459
"ENSMUSG00000031963",162.418412039441,-0.872866161721646,0.237468359276376,-3.67571563799692,0.000237183600160574,0.086522465184459
"ENSMUSG00000047369",59.5187712482602,-1.7337217299387,0.474397772934406,-3.65457392266979,0.000257609433784201,0.0913225442764993
"ENSMUSG00000095771",23.5354844588576,-3.00348009147138,0.823334111235219,-3.6479480814482,0.000264343036834543,0.0918721632920055
"ENSMUSG00000003279",51.9897377087795,2.07447225444156,0.572902412634178,3.62098711524574,0.000293481132129203,0.0971230634436888
"ENSMUSG00000021508",471.756754605204,-0.690655526890127,0.190848278709142,-3.61887218245601,0.000295889727839729,0.0971230634436888
"ENSMUSG00000034796",61.9807019570903,-1.38005743333146,0.381253148450252,-3.61979288286857,0.000294838919429847,0.0971230634436888
"ENSMUSG00000016194",643.90501176145,-0.95708760443954,0.265497348969015,-3.60488572920266,0.000312290305324819,0.0986694225004941
"ENSMUSG00000035783",5130.12200066831,1.00908900428956,0.279776494249551,3.60676834912904,0.000310034209597308,0.0986694225004941
"MSTRG.18595",55.2293988404823,2.85731977674372,0.793534664716604,3.60074978925358,0.000317300822709628,0.0986694225004941
"ENSMUSG00000025885",904.074235193591,-0.697378520024193,0.194791580987606,-3.58012659730179,0.000343427781865741,0.104952714371901
"ENSMUSG00000073876",18.6314443714791,-2.25175385228853,0.637854150124786,-3.53020177394474,0.000415242855830268,0.12474880711172
"ENSMUSG00000090202",13.2979172253603,4.12110744462266,1.17493413552549,3.50752209848724,0.000452300785727405,0.133617190450304
"ENSMUSG00000024330",158.250474989494,-1.38758331903798,0.396642517093079,-3.49832218998439,0.000468195163326921,0.133850955967253
"ENSMUSG00000078735",14.536886284028,-2.60600620711979,0.744784169522912,-3.49900859035327,0.000466991535485335,0.133850955967253
"ENSMUSG00000007035",35.2324887067492,-1.49297363149935,0.430923703152877,-3.46458925460802,0.000531041886386531,0.149408213273036
"ENSMUSG00000037379",492.885260588,1.05626316602731,0.307921502502294,3.43030011689243,0.000602913994875508,0.164956536927013
"ENSMUSG00000090733",155.130755532068,1.46684696064705,0.427727045958181,3.4293996007689,0.000604918189013024,0.164956536927013
"ENSMUSG00000107271",23.0048124221384,6.89640592285487,2.01454347388026,3.42330955487972,0.000618635838585378,0.1661412157413
"ENSMUSG00000025650",74.6543657130604,-1.6611197763388,0.488286177842595,-3.40193896881981,0.000669095781698039,0.177010787023847
"ENSMUSG00000021091",247.630112232638,-1.06517442663394,0.314393427788423,-3.38803019556366,0.000703965138780569,0.181108035921818
"ENSMUSG00000026856",335.035980099767,-0.63026409713177,0.186049229259225,-3.38762003820834,0.000705018588355737,0.181108035921818
"ENSMUSG00000075408",30.2930632393207,-1.71560722516759,0.510626381857081,-3.35980921888162,0.000779963130260146,0.197497806912301
"ENSMUSG00000038670",744.093998698667,0.684066774023194,0.2045921270721,3.34356352716409,0.000827097546410262,0.206483155072139
"ENSMUSG00000025876",71.3286835403021,-1.27408769500088,0.381785718096687,-3.33718008455785,0.000846330916918957,0.208350215310952
"ENSMUSG00000019082",1299.62248532686,-0.791674981990863,0.237557010368223,-3.33256838332716,0.000860483209584571,0.20893239575187
"ENSMUSG00000051107",129.093453267881,-0.978168484106039,0.294349079951923,-3.32315794656401,0.000890045034935867,0.213189841138355
"ENSMUSG00000052293",63.0139067998993,1.2522847018854,0.377573277227212,3.31666666423486,0.000910982345468006,0.215295494312272
"ENSMUSG00000102777",14.1488760565974,3.79913401613328,1.14902123960182,3.30640886799431,0.000945000844221644,0.22039657847143
"ENSMUSG00000009633",1010.18726061932,-0.693623322502402,0.210704386986487,-3.29192634487904,0.000995036680790108,0.229052274896165
"ENSMUSG00000029445",30.7474199253433,-7.47734670811304,2.29130510161564,-3.26335707228192,0.00110100703769298,0.249603363981205
"ENSMUSG00000031286",175.23436083187,1.1203759200226,0.343629435736082,3.26041893827479,0.00111247761661581,0.249603363981205
"ENSMUSG00000108322",3448.43041471837,-0.758549693640418,0.233521858697128,-3.2483027407907,0.00116095675387281,0.257224480779945
"ENSMUSG00000085439",12.8713939306002,3.66685393127278,1.13011409526929,3.24467586646551,0.00117584383748861,0.257306568141798
"ENSMUSG00000020681",1934.80827143739,-0.629980559029382,0.194650368158202,-3.23647247621626,0.00121016896277072,0.25843668512182
"ENSMUSG00000022469",1222.50982820277,-0.627292111949079,0.193625364680124,-3.23972075138703,0.00119646811934271,0.25843668512182
"ENSMUSG00000021288",5507.39228225705,-0.764682014342198,0.236742259163581,-3.23001908085125,0.00123781956766316,0.26119466472416
"ENSMUSG00000107023",153.701898434539,-1.74429648718487,0.541286226478702,-3.22250299722619,0.0012707583623987,0.264990493806082
"ENSMUSG00000020340",3098.37487988834,1.21836990185954,0.383366227855625,3.17808354865931,0.00148252023751754,0.30555431639533
"ENSMUSG00000046982",892.761325821456,-0.587355522098379,0.186629205421959,-3.14717903219058,0.00164853988301546,0.33586631524654
"ENSMUSG00000039497",437.110779646773,0.902549615976558,0.287994191435126,3.13391604003884,0.00172490202767458,0.343439393433475
"ENSMUSG00000039899",1680.06124157691,0.619638137374222,0.197922519895942,3.13071063212007,0.00174383895114317,0.343439393433475
"ENSMUSG00000088246",11.8152284877334,3.54134154640468,1.12904483852495,3.13658184827388,0.00170929719178254,0.343439393433475
"ENSMUSG00000059481",10.175962069237,-4.05450505402313,1.30556422765443,-3.10555771071288,0.00189920556027682,0.369927676438535
"MSTRG.26015",121.15766906285,-0.866986971112178,0.27951930019119,-3.10170700384253,0.00192408294357254,0.370699675813296
"ENSMUSG00000028307",132.424338093814,-2.76519273699565,0.897013328243498,-3.08266627699988,0.00205155081547204,0.376614136364453
"ENSMUSG00000030762",57.5292304221367,-1.22201368815466,0.396590870090528,-3.08129556254211,0.00206101953327797,0.376614136364453
"ENSMUSG00000041616",5531.80579443258,0.625361353468877,0.20259096328453,3.08681761185263,0.00202311687430663,0.376614136364453
"ENSMUSG00000096959",211.813152263767,4.18889465834037,1.35454820572063,3.09246628554784,0.00198500780186236,0.376614136364453
"MSTRG.35022",194.335970328396,-0.73064598366243,0.236427346443849,-3.09036156202835,0.00199912974156711,0.376614136364453
"ENSMUSG00000028709",289.624590902209,-0.639489050447597,0.208074099500935,-3.07337170739371,0.00211654672173857,0.382814190232817
"ENSMUSG00000020635",37.4417367626135,-1.43321252257574,0.467856836490204,-3.06335701606393,0.00218868770538354,0.387944895779232
"ENSMUSG00000024990",27.30641451644,-3.11664950757365,1.01655975047672,-3.06587931118864,0.00217030899119717,0.387944895779232
"ENSMUSG00000058625",18.8821589461415,2.14598558040425,0.705815335736484,3.04043490095752,0.00236236754992661,0.414583810123259
"ENSMUSG00000021732",11.7353114827498,-2.57448472552463,0.850376755089121,-3.0274636625678,0.00246615362376315,0.426403978872615
"ENSMUSG00000022371",880.037079137015,0.826625949535979,0.273435376131287,3.02311266827115,0.00250189076461224,0.426403978872615
"ENSMUSG00000032312",568.083945477394,-0.586699439644579,0.194042163646783,-3.02356677857166,0.00249813888367723,0.426403978872615
"ENSMUSG00000078087",302.634275256086,-11.7993532992635,3.90692541740498,-3.02011224649912,0.00252681022211533,0.426549630352326
"ENSMUSG00000030772",108.778006896865,0.978831630468224,0.325987057309474,3.00267022423217,0.00267622257907786,0.447509860510897
"ENSMUSG00000003617",4149.87081098939,0.45429206777618,0.151574089939479,2.99716177057419,0.00272506064192559,0.451417755870384
"ENSMUSG00000039145",7686.09008676896,4.01588657273367,1.35264779115434,2.96890779624646,0.00298860257476129,0.490490561459666
"ENSMUSG00000039187",36.1541648314008,1.50200638992378,0.5074909767564,2.95967112464495,0.00307967610541879,0.500800540995853
"ENSMUSG00000053964",2957.47165988806,-0.738968516180352,0.249988512577318,-2.95600989246175,0.00311647095101553,0.502176796425003
"ENSMUSG00000039457",304.048088599014,-0.826036997662522,0.281239633480093,-2.93712869498882,0.00331266600112025,0.528982025854563
"ENSMUSG00000026715",23.3356913511194,-2.97543951663172,1.01546949073955,-2.93011217349796,0.0033883966297345,0.531498497894195
"MSTRG.31732",384.715887698299,3.46412036490463,1.18190645971017,2.9309598373412,0.00337916466046633,0.531498497894195
"ENSMUSG00000062382",36.3713092485749,-2.22500838109195,0.761224376807,-2.92293369587673,0.00346750346267265,0.539135955051515
"ENSMUSG00000051412",620.17939437199,0.551160967693316,0.189201559528014,2.91308892520894,0.00357872673977599,0.551590708369822
"ENSMUSG00000020447",28.2391466824356,-1.39731438584186,0.480242085397656,-2.90960419406983,0.00361886737654709,0.552969174562906
"ENSMUSG00000075027",583.956446515065,0.684154877068282,0.235594962858136,2.90394526592764,0.00368492574361071,0.553519566148303
"ENSMUSG00000113035",14.5612041985038,2.73556876349792,0.941597935203292,2.90524082649704,0.00366970624303824,0.553519566148303
"ENSMUSG00000031722",29.3210658618402,-2.03047815388252,0.701218680726139,-2.89564184425304,0.00378383982007611,0.563601351351672
"ENSMUSG00000019577",12385.7627157845,-0.759572897127945,0.263191561786818,-2.88600778828612,0.00390162502112097,0.569968392156034
"ENSMUSG00000046591",16.1691118361686,-2.52798673128641,0.876553136346453,-2.88400854034163,0.00392648104602382,0.569968392156034
"ENSMUSG00000050296",118.051188656188,-0.956774799624961,0.331763030668474,-2.88391023465497,0.00392770695139741,0.569968392156034
"ENSMUSG00000097174",33.2820104535885,-2.17486805216334,0.754713886975004,-2.88171198343853,0.00395521084542692,0.569968392156034
"MSTRG.36121",30.4865750312261,-2.91785825893859,1.0153211458867,-2.87382792209097,0.00405529846569037,0.57967875245453
"ENSMUSG00000025666",587.676097214345,0.487940167735972,0.170255821625607,2.86592354421192,0.00415794651810185,0.589596816266843
"ENSMUSG00000014301",674.353060346205,1.10749594733553,0.387863656829575,2.85537437662574,0.0042986124710705,0.604705603569243
"ENSMUSG00000030443",103.224888836374,1.07939319751583,0.379104355427116,2.84721919456648,0.00441029838199273,0.610722959537665
"ENSMUSG00000064208",11.9261393251819,-3.6397551920959,1.27811563827605,-2.84775108221451,0.0044029347358964,0.610722959537665
"ENSMUSG00000023036",132.861207942761,-1.2233970065494,0.431060044771878,-2.83811274412324,0.00453811499017647,0.61600389052084
"ENSMUSG00000041216",227.919039169521,-0.613889409672606,0.216125346453351,-2.84043227574471,0.00450524380003618,0.61600389052084
"ENSMUSG00000069678",117.962419479322,0.834821850115516,0.29425298343897,2.83708882186632,0.00455269448001298,0.61600389052084
